GeoFips,GeoName,State,2019
1001,Autauga, AL,44368
1003,Baldwin, AL,48270
1005,Barbour, AL,35572
1007,Bibb, AL,31540
1009,Blount, AL,36969
1011,Bullock, AL,28136
1013,Butler, AL,38073
1015,Calhoun, AL,37708
1017,Chambers, AL,36110
1019,Cherokee, AL,36381
1021,Chilton, AL,36471
1023,Choctaw, AL,39097
1025,Clarke, AL,37061
1027,Clay, AL,34185
1029,Cleburne, AL,35905
1031,Coffee, AL,43319
1033,Colbert, AL,38860
1035,Conecuh, AL,33596
1037,Coosa, AL,32548
1039,Covington, AL,35927
1041,Crenshaw, AL,36783
1043,Cullman, AL,41211
1045,Dale, AL,37831
1047,Dallas, AL,37033
1049,DeKalb, AL,33427
1051,Elmore, AL,44561
1053,Escambia, AL,34338
1055,Etowah, AL,37700
1057,Fayette, AL,35856
1059,Franklin, AL,34831
1061,Geneva, AL,36455
1063,Greene, AL,32534
1065,Hale, AL,37825
1067,Henry, AL,43738
1069,Houston, AL,44300
1071,Jackson, AL,38002
1073,Jefferson, AL,56599
1075,Lamar, AL,34549
1077,Lauderdale, AL,38135
1079,Lawrence, AL,35414
1081,Lee, AL,40439
1083,Limestone, AL,44841
1085,Lowndes, AL,41449
1087,Macon, AL,34213
1089,Madison, AL,54169
1091,Marengo, AL,40297
1093,Marion, AL,33433
1095,Marshall, AL,37913
1097,Mobile, AL,40003
1099,Monroe, AL,34489
1101,Montgomery, AL,44597
1103,Morgan, AL,41895
1105,Perry, AL,32198
1107,Pickens, AL,34590
1109,Pike, AL,38057
1111,Randolph, AL,33708
1113,Russell, AL,33796
1115,St. Clair, AL,41015
1117,Shelby, AL,57793
1119,Sumter, AL,32057
1121,Talladega, AL,35717
1123,Tallapoosa, AL,42544
1125,Tuscaloosa, AL,40329
1127,Walker, AL,41976
1129,Washington, AL,37568
1131,Wilcox, AL,33957
1133,Winston, AL,35508
2010,Aleutian Islands Census Area, AK,
2013,Aleutians East Borough, AK,61132
2016,Aleutians West Census Area, AK,56296
2020,Anchorage Municipality, AK,68803
2050,Bethel Census Area, AK,45653
2060,Bristol Bay Borough, AK,145276
2063,Chugach Census Area, AK,
2066,Copper River Census Area, AK,
2068,Denali Borough, AK,82610
2070,Dillingham Census Area, AK,60868
2090,Fairbanks North Star Borough, AK,59194
2100,Haines Borough, AK,70724
2105,Hoonah-Angoon Census Area, AK,65367
2110,Juneau City and Borough, AK,72294
2122,Kenai Peninsula Borough, AK,54026
2130,Ketchikan Gateway Borough, AK,70362
2150,Kodiak Island Borough, AK,64144
2158,Kusilvak Census Area, AK,31422
2164,Lake and Peninsula Borough, AK,63985
2170,Matanuska-Susitna Borough, AK,48327
2180,Nome Census Area, AK,53521
2185,North Slope Borough, AK,92708
2188,Northwest Arctic Borough, AK,50341
2195,Petersburg Borough, AK,71111
2198,Prince of Wales-Hyder Census Area, AK,47601
2201,Prince of Wales-Outer Ketchikan Census Area, AK,
2220,Sitka City and Borough, AK,71462
2230,Skagway Municipality, AK,81135
2231,Skagway-Yakutat-Angoon Census Area, AK,
2232,Skagway-Hoonah-Angoon Census Area, AK,
2240,Southeast Fairbanks Census Area, AK,51992
2261,Valdez-Cordova Census Area, AK,62267
2275,Wrangell City and Borough, AK,48610
2280,Wrangell-Petersburg Census Area, AK,
2282,Yakutat City and Borough, AK,65736
2290,Yukon-Koyukuk Census Area, AK,60189
2901,Aleutian Islands Division, AK,
2903,Angoon Division, AK,
2904,Barrow-North Slope Division, AK,
2905,Bethel Division, AK,
2907,Bristol Bay Division, AK,
2908,Cordova-McCarthy Division, AK,
2910,Haines Division, AK,
2912,Kenai-Cook Inlet Division, AK,
2916,Kuskokwim Division, AK,
2919,Outer Ketchikan Division, AK,
2920,Prince of Wales Division, AK,
2921,Seward Division, AK,
2922,Sitka Division, AK,
2923,Skagway-Yakutat Division, AK,
2924,Southeast Fairbanks Division, AK,
2925,Upper Yukon Division, AK,
2926,Valdez-Chitina-Whittier Division, AK,
2928,Wrangell-Petersburg Division, AK,
2929,Yukon-Koyukuk Division, AK,
4001,Apache, AZ,33844
4003,Cochise, AZ,40546
4005,Coconino, AZ,48837
4007,Gila, AZ,39720
4009,Graham, AZ,31179
4011,Greenlee, AZ,41082
4012,La Paz, AZ,34387
4013,Maricopa, AZ,49663
4015,Mohave, AZ,34274
4017,Navajo, AZ,32007
4019,Pima, AZ,44649
4021,Pinal, AZ,32699
4023,Santa Cruz, AZ,38274
4025,Yavapai, AZ,41076
4027,Yuma, AZ,35065
5001,Arkansas, AR,46005
5003,Ashley, AR,37318
5005,Baxter, AR,37854
5007,Benton, AR,94108
5009,Boone, AR,36174
5011,Bradley, AR,39097
5013,Calhoun, AR,35808
5015,Carroll, AR,32925
5017,Chicot, AR,38927
5019,Clark, AR,36903
5021,Clay, AR,35973
5023,Cleburne, AR,39296
5025,Cleveland, AR,39663
5027,Columbia, AR,37225
5029,Conway, AR,38465
5031,Craighead, AR,38365
5033,Crawford, AR,33837
5035,Crittenden, AR,38397
5037,Cross, AR,37334
5039,Dallas, AR,37188
5041,Desha, AR,39508
5043,Drew, AR,37906
5045,Faulkner, AR,39335
5047,Franklin, AR,32841
5049,Fulton, AR,28457
5051,Garland, AR,41502
5053,Grant, AR,39324
5055,Greene, AR,35869
5057,Hempstead, AR,31799
5059,Hot Spring, AR,31697
5061,Howard, AR,34068
5063,Independence, AR,36292
5065,Izard, AR,30681
5067,Jackson, AR,38054
5069,Jefferson, AR,36060
5071,Johnson, AR,28774
5073,Lafayette, AR,35672
5075,Lawrence, AR,33601
5077,Lee, AR,30263
5079,Lincoln, AR,27710
5081,Little River, AR,34392
5083,Logan, AR,32662
5085,Lonoke, AR,40825
5087,Madison, AR,33906
5089,Marion, AR,31494
5091,Miller, AR,34620
5093,Mississippi, AR,35915
5095,Monroe, AR,35474
5097,Montgomery, AR,29748
5099,Nevada, AR,33940
5101,Newton, AR,30265
5103,Ouachita, AR,38582
5105,Perry, AR,36201
5107,Phillips, AR,34052
5109,Pike, AR,32315
5111,Poinsett, AR,34677
5113,Polk, AR,30512
5115,Pope, AR,35416
5117,Prairie, AR,36273
5119,Pulaski, AR,52499
5121,Randolph, AR,33640
5123,St. Francis, AR,28560
5125,Saline, AR,43233
5127,Scott, AR,30901
5129,Searcy, AR,28270
5131,Sebastian, AR,43310
5133,Sevier, AR,31719
5135,Sharp, AR,34281
5137,Stone, AR,31171
5139,Union, AR,46081
5141,Van Buren, AR,31752
5143,Washington, AR,41643
5145,White, AR,37110
5147,Woodruff, AR,37638
5149,Yell, AR,33074
6001,Alameda, CA,78839
6003,Alpine, CA,79701
6005,Amador, CA,43979
6007,Butte, CA,45175
6009,Calaveras, CA,48460
6011,Colusa, CA,44661
6013,Contra Costa, CA,84614
6015,Del Norte, CA,36092
6017,El Dorado, CA,68125
6019,Fresno, CA,43019
6021,Glenn, CA,43247
6023,Humboldt, CA,46072
6025,Imperial, CA,37196
6027,Inyo, CA,60229
6029,Kern, CA,39559
6031,Kings, CA,36442
6033,Lake, CA,42144
6035,Lassen, CA,35581
6037,Los Angeles, CA,63043
6039,Madera, CA,38751
6041,Marin, CA,138903
6043,Mariposa, CA,53861
6045,Mendocino, CA,49803
6047,Merced, CA,37952
6049,Modoc, CA,45375
6051,Mono, CA,49356
6053,Monterey, CA,56545
6055,Napa, CA,73886
6057,Nevada, CA,60689
6059,Orange, CA,69951
6061,Placer, CA,67610
6063,Plumas, CA,51044
6065,Riverside, CA,41385
