stateabbr,statedesc,countyname,countyfips,totalpopulation,access2_adjprev,casthma_adjprev,csmoking_adjprev,StateCode,CountyCode,county_emissions,per_capita_income,state_emissions,csmoking_adjprev_state,access2_adjprev_state,per_capita_income_state,casthma_adjprev_state,net_growth_19to64
NC,North Carolina,Warren,37185,19731,23.3,10.9,24.6,37,185,7.565971078947371,30317.0,7.565971078947371,21.27499999999999,20.399000000000004,41171.1,9.768,800
SC,South Carolina,Aiken,45003,170872,19.7,9.9,18.3,45,003,7.449686470588235,44503.0,7.449686470588235,21.210869565217394,21.09565217391304,39970.282608695656,10.249999999999998,6935
SC,South Carolina,Calhoun,45017,14553,20.0,10.3,20.0,45,017,7.449686470588235,41620.0,7.449686470588235,21.210869565217394,21.09565217391304,39970.282608695656,10.249999999999998,590
SC,South Carolina,Darlington,45031,66618,21.0,10.9,22.9,45,031,7.449686470588235,39085.0,7.449686470588235,21.210869565217394,21.09565217391304,39970.282608695656,10.249999999999998,2703
SC,South Carolina,Florence,45041,138293,19.8,10.3,20.4,45,041,7.7144070000000005,43759.0,7.449686470588235,21.210869565217394,21.09565217391304,39970.282608695656,10.249999999999998,5613
SC,South Carolina,Saluda,45081,20473,26.5,9.8,21.1,45,081,7.449686470588235,35242.0,7.449686470588235,21.210869565217394,21.09565217391304,39970.282608695656,10.249999999999998,830
SD,South Dakota,Moody,46101,6576,14.2,8.9,19.0,46,101,5.047725266666666,50945.0,5.047725266666666,20.412121212121217,14.913636363636366,48920.51515151515,9.072727272727267,266
VA,Virginia,Nelson,51125,14930,14.3,9.7,19.5,51,125,7.0627238750000005,52216.0,7.0627238750000005,19.312030075187977,15.056390977443598,48010.85365853659,9.872932330827068,605
OK,Oklahoma,Jackson,40065,24530,24.2,9.7,17.4,40,065,8.075397736842106,43272.0,8.075397736842106,21.685714285714287,21.001298701298705,41492.27272727273,10.484415584415585,995
IL,Illinois,Lawrence,17101,15678,18.9,9.5,21.7,17,101,9.035586404761904,30565.0,9.035586404761904,19.503921568627458,15.940196078431375,45259.794117647056,9.365686274509805,636
KS,Kansas,Barton,20009,25779,20.5,9.7,18.7,20,009,7.838001916666667,47429.0,7.838001916666667,18.306666666666672,18.189523809523806,47207.219047619044,9.510476190476188,1046
AK,Alaska,Anchorage,02020,288000,13.6,9.2,15.3,02,020,7.624891,68803.0,9.153661333333334,22.662068965517232,15.103448275862073,64729.51724137931,10.037931034482757,11689
OK,Oklahoma,Stephens,40137,43143,20.5,10.5,21.8,40,137,8.075397736842106,44182.0,8.075397736842106,21.685714285714287,21.001298701298705,41492.27272727273,10.484415584415585,1751
